customer_experience,NPS,date,primary_category
Too difficult to deal with. Required training you provide is a decade out of date. Too expensive. Especially when we've received electronic video advertisements. Just not impressed with the product.,3,11/1/2022,Cost
Horrible product. Just here to make as much money a possible off the product. Absolutely no care for what a police department needs other than making max money.,0,11/1/2022,Product
"very hard to keep on track of video with all the clicking and scrolling, makes it easy to loose track of what is being taught with all the distractions of clicking and scrolling.",0,11/1/2022,Training
We have to download a hardcopy of each video for the District Attorney's office. The download process is slow.,5,11/1/2022,Product
Website is horrible to navigate.  Must sign in to with 2 factor authentication and every turn. Making purchases online is literally impossible.,0,11/1/2022,Product
Website is horrible to navigate.  Must sign in to with 2 factor authentication and every turn. Making purchases online is literally impossible.,0,11/1/2022,Others
High price of equipment and services that smaller agencies cannot afford. Also you are buying up all the other affordable options making Axon a monopoly.,6,11/1/2022,Cost
Price,5,11/1/2022,Cost
Your product is a monopoly.  It is way over priced and impacts small agencies more than larger ones.  This is a disservice to tax payers.,1,11/1/2022,Cost
"The app is terrible, the battery life on these things isn't great, the gun shot detector goes off every time you sneeze",2,11/1/2022,Product
"Becoming too expensive in regard to BWC and other software, there is better pricing elsewhere for smaller agencies.",3,11/1/2022,Cost
"I have repeatedly attempted to contact axon representatives to attempt the purchase of new body cameras. My emails, nor my voicemails have been returned for several months of trying. We have begun shopping with other vendors due to the lack of customer service.",2,11/1/2022,Sales
Our department has had nothing but problems and delays with equipment and support. We are prepared to return our equipment because its not helping our daily mission.,0,11/1/2022,Sales
Cost of products is insane,0,11/1/2022,Cost
Redacting video in Axon is extremely difficult and time consuming.,5,11/1/2022,Product
Price is too expensive for small departments and the shift away from simple easy to use ECD.,2,11/1/2022,Cost
I do not find you to be very responsive or customer focused.  I've had conversations with colleagues about Axon being a sole source provider and very self focused.,2,11/1/2022,Sales
"Website is very difficult to navigate.  Some of the instruction pdfs refer to links that aren't current (like ""buy"", which is no longer a buy link... the hyperlink says buy, but the button says something else).  I have coworkers who speak about how difficult Axon's website is too.  

Products are great though. Tasers and BWC are amazing.",5,11/1/2022,Others
"The taser has become a crutch to law enforcement as it was sold as a ""be all, end all"" for physical confrontations.  Since then, LEO's have forgotten how to go ""hands on"" and properly take people into custody (there are numerous internet videos that prove this point).  The taser should be used only if physical arrest tactics can not be used safely or after physical arrest tactics have been attempted.  Proper arrest tactics abilities have declined severely in the past 10-15 years partly due to technology such as the taser.",0,11/1/2022,Others
"Axon products are cost-prohibitive for many agencies. For example, $80+ for a battery is outrageous.",5,11/1/2022,Cost
Taser is great but body camera options not so much,5,11/1/2022,Product
Terrible customer service. I have been trying to get a hold of Axon for weeks and now turning into months. I have needed estimates/quotes for budgeting for my agency and have heard nothing. I have also been trying to trade in Tasers for credit to the account with no such luck. I have tried to contact my regional sales rep. Kyla and she has never returned my emails or phone calls. I spoke with a different rep. in regards to this matter (Kyle) and he assured me he would contact me the following week. I never heard back from him or received the promised information for estimates/quotes. I want to reiterate that Axon customer service/sales is some of the worst I've dealt with when it comes to obtaining information for a departments needs. Unfortunately is there no other product on the market that meets our agency's needs so we are stuck with Axon.,0,11/1/2022,Sales
"The cost of the equipment and supplies is too extreme for smaller/mid size agencies, and the cost continues to raise each year.",4,11/1/2022,Cost
"Overall I really like the Axon body worn cameras and Evidence.com.  The Fleet 2 cameras are not as good in my opinion.  While the video quality is good, we constantly face connectivity issues with them.  Seems like I hear complaints from officers on a daily basis.",5,11/1/2022,Product
"Still repeated issues with Taser 7's safety switch. I have had to send over 20 units back for this issue. I am currently waiting over a month for 7 units to be returned due to broken safety switches. I sent an email to RMA for an update on when to expect our units with no response as of yet. Great product, however, questionable quality on a known issue. We should not have to wait over a month for repair/replacement. Thank you",6,11/1/2022,Product
Cost and difficulty to A la cart and add on devices to existing contract terms.,5,11/1/2022,Cost
The battery life,7,11/1/2022,Product
"Most recently, our experience with customer service and responsiveness has declined tremendously.",6,10/31/2022,Customer Service
"After some initial growing pains, the SSA program has been OK to manage.",8,10/31/2022,Product
Again the pricing,7,10/30/2022,Cost
"While we are happy with the platform and will continue to use the products and services, the cost makes me hesitant to recommend them to smaller agencies around us.",8,10/27/2022,Cost
Terrible Communication. Information not disclosed to us prior to purchasing equipment,3,10/24/2022,Sales
Costs are high.,4,10/21/2022,Cost
I feel the process of placing an order and then someone besides your rep having to write the quote is very difficult and results in multiple miscommunications.,8,10/21/2022,Sales
"It is a great business model, but you're pricing small agencies out of the game on items that law enforcement wants and the public expects. Pricing is confusing, it is hard to reach the representative, and you're selling items that you no longer support.",5,10/19/2022,Cost
"The products and services are excellent, but the score is a 7 because of the high cost.",7,10/18/2022,Cost
Axon has so many nuances to it that it is sometimes hard to manage without a massive team.  Customer service is not often helpful based on the fact you are submitting help requests and help is not automatic.,7,10/17/2022,Customer Service
Dash can software is unstable.  Often unable and unable to reset.  Self corrects itself randomly.,8,10/15/2022,Product
i like your product,7,10/13/2022,Product
"Customer service is good, but some products are terrible.",7,10/11/2022,Product
Axon has great products and excellent customer service. The only issue with Axon is the price.,8,10/10/2022,Cost
The products are good but some the cost is high especially for a smaller department. Cost makes it hard to transition to newer products service on older versions is unlikely.,6,10/9/2022,Cost
"Good products, but their training for the Taser 7 was very cumbersome to use and quizzes were done multiple times.",7,10/7/2022,Training
Evidence.com is not user friendly at all and the recent Taser 7 training video was horrifically unbearable to watch.,0,10/7/2022,Product
"I am against these cameras... it can be used to hurt us..Also, it recorded me using the restroom which invaded my privacy and is a personal violation. I do not wish to be asked any more about these cameras for I have nothing good to say about them.",0,10/6/2022,Product
"cost is contributing factor, we have several colleagues looking into other options based on cost.",7,10/6/2022,Cost
customer service is good but RA response is bad,3,10/6/2022,Customer Service
The axon products are overpriced junk.,1,10/5/2022,Cost
Costs for provided services are really tuned to those who dont understand the technology. Product quality is good but given cheaper options for things like storage and operations it really does not help the small agencies and those with limited tax base.,6,10/5/2022,Cost
We have had the cameras for months and can't use them,0,10/4/2022,Customer Service
The log in process was terrible. I ended up having to take the course on my own time to complete it before the dead line because of an issue with changing my password.,2,10/4/2022,Others
The classes are to in depth for normal users the more technical difficulties up make it in your classes and webinars you lose the simplicity that is needed in a quick use of the device.,1,10/4/2022,Training
My opinion,0,10/4/2022,Others
A department has to buy a lot of extras in order to be more effective with Axon; some of the things that were free (or were standard) are now being taken away and have to pay extra to pay for those services.,4,10/4/2022,Cost
too expensive,4,10/4/2022,Cost
"Customer service is not responsive, unable to get product.",0,10/4/2022,Sales
Camera is great. Battery life can be insufficient.,8,10/4/2022,Product
Price negotiations and bundle negotiations very one sided and very little flexibility when working with an agency.,2,10/4/2022,Sales
"WHEN I am finally able to reach someone, the service is great.  I know things are busy, but having to call 3-4 times over a 3 week period 4 DIFFERENT times is inexcusable",3,10/4/2022,Sales
Costs,6,10/4/2022,Cost
"Great products, but charge for every little thing.",8,10/4/2022,Cost
Because I've had several cameras they constantly lose connection with my phone. And the video closes way too quickly while I'm looking at my video and have to set down my phone to type.,5,10/4/2022,Product
"Your products are expensive, but you're the best in the business of offering law enforcement product solutions.",8,10/4/2022,Cost
"Poor battery life, difficulty reviewing video, always seems to have issues",3,10/4/2022,Product
Products are too expensive.,8,10/4/2022,Cost
"Like the products, hate the cost.",8,10/4/2022,Cost
"The BWC itself is fantastic. The iOS app has issues with the BWC. Latest update is getting better but still has issues with having to pair frequently. Evidence.com is great, wish I could select pictures and ""scroll"" through them similar to windows photo viewer. Windows Axon View app is terrific. 

Those are the only digital Axon products I have access to.",6,10/4/2022,Product
Constant errors with bodycamera,0,10/4/2022,Product
Good product with amazing battery. Camera view is little narrow and audio is kinda poor for things to fix,7,10/4/2022,Product
Products are good but expensive,7,10/4/2022,Cost
The taser 7 probes have been bouncing off and even bending during static voluntary exposures with thin tac pants,5,10/4/2022,Product
"Axon is a business, and generally receptive to the needs/requests of its customers.  However, the overall start up and  maintenance costs often out price smaller agencies that could benefit from the technology.  I am fortunate to have the funding sources and the volume of axon products I do have on hand.  The fact that the technology may only last in the field 3-5 years is hard to justify the engineered obsolescence.
The roll out of firmware for all devices need more beta testing before pushing to everyone to avoid the recent 1.10.5, 1.10.8/1.10.9 issues specifically for Taser7.",7,10/4/2022,Cost
"Axon is quick to sell product.  When it comes to followup customer service, you are left high and dry.  Leaving messages, emails, etc with sometimes no response.  When you do get a response the majority of the time it's unhelpful.  This is not a 1 time thing.  I've dealt with Axon for 7+ years.  Unfortunately that's who the county wants to buy from.  I would choose a different company just to get better service.  One day I'll be able to make those decisions and I'll encourage everyone to move away from Axon. I've had issues with customer service on the x26p, body 2 cameras, and most recently the Taser 7.   I bet if I called stating I wanted to buy I could get someone on the phone right now.  As soon as I would bring up a tech issue or another issue I'd be dismissed fast.  Super unhappy",1,10/4/2022,Sales
"I have not been able to access the company axon account , been trying to download evidence sync with no avail. all your support people do is send a link. worthless.",0,10/4/2022,Others
sent a taser in for repair and have not received it back and no response to my emails.,2,10/4/2022,Customer Service
The upload process and labeling could be more efficient,8,10/4/2022,Product
"The technology is great, but the prices have been going up so high that my agency cannot keep up anymore. With our batch of Taser X2's becoming outdated, the Taser 7's are significantly more expensive overall, leading us to look elsewhere for less lethal options. Additionally, while shopping for body cameras, we like the Axon cameras, but there are now other vendors that offer products of similar enough technology and capability at a fraction of the cost. Sadly Axon's prices are getting beyond our reach.",5,10/4/2022,Cost
I have been trying to get in touch with a sales rep for the state of South Carolina so I could get a body worn camera quote for my department.  I know we are a small department but we need service as well.,1,10/4/2022,Sales
It is very difficult to get in touch with someone at customer service.,4,10/4/2022,Customer Service
"The control device is valuable but honesty in-field success is lacking, and AXON claims not to teach tactics but does in training. The camera has value but AXON has done a horrible job explaining that video is not what the eye sees and brain experiences. The VR is snake oil, and the lack of weapon tracking accuracy is horrible.",5,10/4/2022,Product
Your products are generally overpriced.,6,10/4/2022,Cost
This is an average of all of our products as Axon Records has lowered the average score considerably.,6,10/4/2022,Product
"I was years back.  However, our contract renewal has been a struggle.  Delivery dates have been inaccurate on Taser 7.  Emails go weeks without a response. The quote for fleet has been incorrect and its taken months to get to where our agency is at.",5,10/4/2022,Sales
"Would have been higher.  However, persistent equipment issues with the body camera side cannot give Axon a higher score with me.",8,10/1/2022,Product
"While I believe you have a good product I have run into a customer service issue lately wherein I have not had that problem in the past.  Matt Dearing was extremely helpful in trying to get the issue resolved, but company representatives assigned to ST Johnsbury PD either didn't respond or were very slow in getting back to us.  Weeks  passed without a return email.  The issue is still unresolved.",8,9/30/2022,Sales
Have not received any status on the delivery and installation of our in car cameras,8,9/29/2022,Customer Service
"Axon is certainly the leader in Conducted Electrical weapon technology and Body worn cameras. While the technology and innovation is excellent and ground breaking, the company tends to out price themselves. Smaller agencies struggle to come up with cloud sharing, software and hardware costs. In addition, the yearly expected ""training"" ,which costs the price of 2 cartridges per officer and battery usage, as well as the 5 second spark test daily becomes exceedingly expensive.",8,9/29/2022,Cost
Expensive and equipment is not available.,5,9/28/2022,Cost
Expensive and equipment is not available.,5,9/28/2022,Sales
"Tech support has not been as helpful as it has been in the past. When I call, though seldom, I do not get the responsiveness as in the past in terms of specific information to resolve my issue(s). Also, I have experienced a lot of difficulty in reaching my sales representative. Within the same week, I reached out a few months ago regarding adding a few body cameras to our supply, and discussing our contract which is up for renewal and neither of my calls were returned. I know we had a few new representatives and calls can be lost when transferred from one rep to another, but someone should have gotten someone in touch with me. It's not what I am used to with Axon.",5,9/28/2022,Customer Service
The cost for the cloud is is very expensive.,8,9/27/2022,Cost
"This is an incomplete answer as we (agency) have had limited contact to this point. I will say that while every employee interaction has been cordial and professional, it is sometimes overwhelming to deal with so many different contacts or specialists; in turn this has made it difficult to get some questions answered in a timely manner. An example of this would be our initial contract negotiations. I believe I spoke with four different employees over the course of the negotiations which obviously made the process somewhat convoluted.",6,9/27/2022,Sales
I love the product but am having a difficult time with support and actually talking to a person.  Typically emails are not being answered for over a week.,7,9/27/2022,Customer Service
I love the product. Customer support is great once you make contact with the right person. Supply chain issues have made some things difficult like replacing docks,7,9/27/2022,Sales
It is extremely difficult to contact sales and get a response in a timely manner.,4,9/26/2022,Sales
"Products work well, but cost is high relative to other offerings",8,9/26/2022,Cost
"The LAPD recently switched to the iPhone 13 Pro Max phones.  We have been unable to enter the incident numbers for our videos using the ""ID Prefix"" feature that is currently available only for the Android phones.  Please add the ""ID Prefix"" feature to the iPhone App.  Thank you.",8,9/26/2022,Product
"Although I think that bwc will help police in the long run, laws in Illinois  actually hurt those that have bwc.",8,9/21/2022,Others
"Great product, but a budget challenge for smaller agencies.",6,9/20/2022,Cost
Pricey equipment for the same thing you can get elsewhere for cheaper.,7,9/20/2022,Cost
It's a good system however the battery does not last a 12 hour shift.,8,9/20/2022,Product
We have had trouble with receiving quotes that fit our purchasing policies and procedures. Previously the Axon quoting system only allowed for 5 years worth of services and our purchasing is only approved on a fiscal basis. We were also promised to receive ALL items in our bodycamera order by the close of our FY22 year which was June 30th and we are still missing the mounts needed for our officers to wear the cameras. This means we have not been able to start using our cameras for three months. Each time I reach out to our sales representative I am told they are on back order. The sales rep NEVER follows up with me on the status I always have to reach out.,6,9/19/2022,Sales
Had a problem getting into the program couldn't copy and paste.,8,9/19/2022,Product
"Everything works pretty good except the signal sidearm activators, constant issues and dead batteries.",8,9/15/2022,Product
I liked the online courses and the information I received. I think the website could be more user friendly.,8,9/13/2022,Others
Customer service is lacking at times.  In the past I've tried numerous times to contact the representative for our agency and left a voicemail with no return phone call.  I've had to put in multiple requests in the past just to replenish the agencies Taser cartridges.  The agency has spent near a quarter of a million dollars with Axon and can't get a tech to come to our agency to troubleshoot several in car camera systems that we've had issues with.,5,9/13/2022,Sales
bulky but needed,8,9/12/2022,Product
"We've been a long-time partner with Axon. It seems getting quotes and being able to decipher them has become troublesome.  We've also been waiting since the beginning of this year to get our legacy interview room footage into E.com to no avail. On our side we have the funds approved, but from Axon's side there is no movement.",7,9/12/2022,Sales
I enjoy the product. Havent heard much from sales since we implemented it.,8,9/12/2022,Sales
"Haved used the VieVu Camera's since 2010/2011, but the force to the Axon's Camera's and ending the VieVu's was a little frustrating.  The Software for the Axon's doesn't even compare to the VieVu.   Almost forces you to get the cloud version.  That really was poor on Management to go with this idea.   More support and a better software for locally  stored videos would really should have been provided.",5,9/12/2022,Product
The program and operating system is a step in the right direction. The good mostly out weighs the bad. It's something that needs to continue and grow over the years. A hospital setting will be difficult initially but perhaps over time would be beneficial.,8,9/11/2022,Others
because it hard to get the camera to pair with phone to offen,7,9/11/2022,Product
I thought the new Taser 7 course was very repetitive.,6,9/10/2022,Training
Not everything is optimized as it should be.  Axon Capture does not automatically upload images - the app has to be open with the screen awake?  Why can't images be synchronized to CAD calls the same way videos from the BWC are?  I also get videos assigned to me because others used my vehicle with their own login.,5,9/10/2022,Product
The system is slow to hook up and often looses blue tooth connection.,4,9/10/2022,Product
"There were aspects of the training that were very repetitive and did not seem needed.  For example I don't need to know how to curve works I just need to know it is effective, and I still don't see the difference between a 7 and 7CQ (the difference was never explained in the training).",6,9/9/2022,Training
It was good information but the main thing I did not liked about it is that you had to score 100% on every topic to move forward. It was not accepting an acceptable grade such as 90%,8,9/8/2022,Training
I wish the Axon Flex 2 held up better. We still have a lot of RMAs with them. I am hoping Axon is working on the AXON Flex 3 and it will be better.,7,9/8/2022,Product
The website makes it hard for private security industry to buy products,3,9/8/2022,Others
The website is just not user friendly.,4,9/8/2022,Others
It's probably the best available but there is room for improvements on your devices.,8,9/8/2022,Product
It has been making me repeat each secession and i sent an email about the issue and never got  respond back,0,9/8/2022,Training
You do a lot of things well but it still comes down to that your the only player in the game.,8,9/8/2022,Others
You are directing responsible for destroying LE. you are forcing cops to become robots. Hope you are rich and enjoy the money while we all suffer.,0,9/8/2022,Others
Categorizing the videos is a pain in the ass,7,9/8/2022,Product
Not a fan of the website and all the different paths to get what I need,8,9/8/2022,Others
I am very frustrated that we still haven't received our three docking stations that were supposed to be here months ago.,7,9/7/2022,Sales
"The upload takes a long time.

If they had a accidental recording where you can stop the recording within 10 seconds or so of activating and it not save. 

If there was an actual mute button would be nice. 

The Bluetooth option with the phone does not work properly. It takes a lot of time trying to connect it to my phone.",4,9/7/2022,Product
"The concept and technology is great. The equipment and installation needs improvement. A pillars on our vehicles, including 2 brand new not in service vehicles, were broken during install. The rubber sticker pad that adheres an antenna to the windshield does not stick and repeatedly needs to be reattached.",8,9/7/2022,Customer Service
"Good product, viewer can be improved. Needs a way to add tags during an interview",7,9/7/2022,Product
i know it's hard to make this type of training exciting but  I think a different speaker might make it easier to listen to.,8,9/7/2022,Training
"Body camera operation is easy, but a pain to upload video and label and categorize each video/photo.",3,9/7/2022,Product
Lack of training for prosecutors. Ease if use in the Courtroom is lacking.,3,9/7/2022,Training
Lack of training for prosecutors. Ease if use in the Courtroom is lacking.,3,9/7/2022,Product
The new Taser7 is bulky and has too many features.  It is likely to cause too many problems deciding what to do at a moments notice.  The differing angles will cause issues to Deputies who have used an X26 since release.,1,9/7/2022,Product
Some of the user interface could be better I.e. the switchology. Should be much more positive. Having to constantly pair my smart phone multiple times a week is very annoying.,3,9/7/2022,Product
every two years they pressure you into trying to buy new tasers. They use the instructor course more for marketing rather than instructing.,6,9/7/2022,Sales
every two years they pressure you into trying to buy new tasers. They use the instructor course more for marketing rather than instructing.,6,9/7/2022,Training
I thought it was a reasonable score. Communication and contacting department needs to be improved,8,9/7/2022,Sales
The time delay for the body camera to reconnect to the computer before uploading of video,8,9/7/2022,Product
"I like the AXON and what the system offers, what I don't like is if your invoices are not current you cannot purchase items needed to keep your existing BWC's functional",3,9/7/2022,Customer Service
They gave me a list of the items I was looking for but then they were very slow responding to what I needed.  Several days went between emails before I got answers.,8,9/7/2022,Sales
Technical support is either not geared to working with customers via email or their response time is incredibly slow in comparison to the other providers my agency works with.,5,9/7/2022,Customer Service
I'm tired of my BWC turning off every time I search a trunk or under a seat because the button is not counter sunk into the device.  I also lose my device when it gets hit on a door frame or other hard object.,4,9/7/2022,Product
"Axon has an interesting business plan, one that seems good on paper for large agencies with plenty of money but not so great for small departments with no budgets, I shouldn't have to choose between body cameras or vests for my guys.",6,9/7/2022,Cost
The main reason is pricing,8,9/7/2022,Cost
Jus a little bit malfunction when changing battery.,8,9/7/2022,Product
"Product is amazing, but you're for the most part unaffordable.",5,9/7/2022,Cost
"Axon's online training is redundant and feels more like the company absolving itself from any liability, rather than providing users with quality training. An individual can be shown how to use a taser in approximately 30 minutes yet Axon distributes training that requires 3 or more hours to accomplish the same task. Additionally, I was informed last week that I must wear the new Taser 7 in a cross draw setup. I have been draw my taser with my support hand for my entire career and I am very uncomfortable switching to a hand that has been conditioned solely on lethal force.",0,9/7/2022,Training
My personal feelings,0,9/7/2022,Others
"As it relates to the signal devices, the false activations are annoying.",0,9/7/2022,Product
"We had a serious problem with our sales rep, but that is changing and been a more positive experience.",8,9/7/2022,Sales
"Axon is a useful organization with great tools, but does not feel as though it cares for small agencies based on the business models they use that eventually require agencies to upgrade to more expensive platforms. If another organization were to emerge as a competitor that was more suitable for small agencies, I feel Axon would lose several agencies that they currently have as a customer.",6,9/7/2022,Cost
Cost is to high for smaller departments,1,9/7/2022,Cost
The customer service has dropped off. Have to chase after answers regarding product functions such as the auto tagging.  The initial purchase to equipment was quite a process to get the correct pricing.,6,9/7/2022,Sales
You have to fix the edge of the lens being flush to the camera housing. Countless scrapes and scratches on the lens. Fix it,6,9/7/2022,Product
"Overall it is a fantastic system; however, some of my videos return to upload queue after being uploaded with no cad number. It would also be nice to automatically upload the call number to the system.",6,9/7/2022,Product
Awesome system. Very user friendly just makes the uniform look bad. Cameras are so small anymore that I believe there could be a way to either separate the unit into 2 pieces one on the belt and the camera on the uniform. It would also help in the cases where the camera comes off the uniform.,5,9/7/2022,Product
Cost,3,9/7/2022,Cost
"Due to when people share evidence with meit doesn't seem to show up in my account. 
Also, times out to quickly and if have a lot of uploads to complete logs you out and start over.",7,9/7/2022,Product
"I deal with several SAS companies and though the Axon model works I struggle with the continued system issues and outages that have begun to plague evidence.com 

Things are things that are not user-friendly at all. There are so many ways to improve the software side and I don't see any energy being added to make it better, in fact all these improvements have caused it to become very burdensome.",6,9/7/2022,Product
Axon customer service hasn't been the best,5,9/7/2022,Sales
Because you should not have to have a camera on you to do your job.,4,9/7/2022,Others
They have the products we need but service and company reps are not good for small agencies. I've had probably 6 reps in less that a year.,4,9/7/2022,Sales
Multiple cameras don't work and very difficult to get service.,0,9/7/2022,Product
"The recent updates make you have to sign back in constantly to select categories for labeling, pretty annoying!",6,9/7/2022,Product
After the installers installed axon power ports that used to work no longer work. The installers are on to the next one. They are not a local shop snd I have nobody to hold accountable to fix the power ports.,1,9/7/2022,Customer Service
Prices on replacement cartridges and batteries are high for small departments.,8,9/7/2022,Cost
The product is good but your product prices are starting to border on the outrageous where it is putting burden on smaller departments.,5,9/7/2022,Cost
I feel like it was good information but too much to read and remember.  In person training would be more beneficial.,7,9/7/2022,Training
"Great product, overpriced a bit, and too many updates without good trade in options.",8,9/7/2022,Cost
"When we initially switched from our previous BWC vendor to Axon we were impressed with the product (BWC's and tasers).   However,  after the sale the level of customer service started degrading rapidly.  Our CSE changed so rapidly we could not keep up.  We realize that things got tough during the pandemic, it did for all of us, but Axon had a legal obligation to provide us with our TAP refresh at year 2.5.  We reached out to everyone in an attempt to get this fulfilled and that took several months. The frustrating thing for us as an EXISTING customer is that Axon's sales were through the roof and they were signing on new customers left and right. We were losing CSE's because of this, they were being promoted. So, I asked why we could not get our contracted hardware if new customers could get hardware???   We just finished our TAP refresh recently and had budgeted for auto-tagging and signal sidearm.  Initial conversations about auto-tagging indicated it would be several months (next Spring) before we would be able to implement because of the project backlog.  Well, we just implemented auto-tagging for one of our sister agencies (we share CAD) and it's not a major project. So, we are on the fence about Axon. We love the product and the functionality that is available but if you can't get to people or get timely responses from people and implementation schedules are pushed so far out you ask why?  Im hoping participating in this survey gets us some answers.  I'm sure we are a small agency compared to some of your other customers, but does that make us any less important?  We don't think so. Thanks",5,8/31/2022,Customer Service
"While Axon products have been performing well, customer service lacks when it comes to following up on issues or responding to voicemails.",8,8/30/2022,Customer Service
"Your products are superior to the competition, however, we have been waiting on a computer for our VR goggles for a very, very long time.   We feel that there has been over-promising and under-delivering in that regard.",7,8/30/2022,Sales
"Product is solid, people are helpful.  Would be a 10 if equipment was available.  Been waiting almost 2 months for camera docks",6,8/29/2022,Sales
"Axon products are some of the best products on the market. Axon does well with cutting edge police products and in my opinion are considered an industry standard. That said I would like to rate a 9/10 but Axon falls down when it comes to follow thru and Sales Team Reps / Customer Service Reps. Everyone I / we deal with at Axon is professional and well intended however due to internal changes within your company we are constantly getting a new rep and each one of them tell you they are ""the rep we will deal with going forward"" however inevitably we continue to get new reps all the time.",8,8/29/2022,Sales
